report_date,google_campaign_id,campaign_id_crm_ref,campaign_name,ad_objective,device_type,country,impressions,clicks,ctr_pct,avg_cpc_eur,conversions,conv_rate_pct,spend_eur,revenue_eur,roas,quality_score,_load_ts,_source_system
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,DE,9140,157,1.72,0.55,6,3.92,86.35,920.26,10.66,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,AT,3122,64,2.05,0.58,2,3.68,37.12,137.15,3.69,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,CH,1637,31,1.9,0.55,1,4.04,17.05,142.99,8.39,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,mobile,DE,7810,161,2.06,0.55,7,4.31,88.55,460.46,5.2,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,mobile,AT,2819,64,2.27,0.48,3,4.0,30.72,539.6,17.57,8,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,mobile,CH,1479,30,2.01,0.55,1,4.13,16.5,137.45,8.33,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,tablet,DE,1984,34,1.69,0.65,1,4.25,22.1,110.42,5.0,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,tablet,AT,630,11,1.72,0.63,0,4.35,6.93,0.0,0.0,7,2024-12-31T06:30:00,google_ads_api
2024-01-02,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,tablet,CH,387,6,1.47,0.56,0,4.32,3.36,0.0,0.0,6,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,DE,8948,157,1.75,0.6,6,3.92,94.2,652.68,6.93,7,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,AT,3143,56,1.79,0.64,2,3.91,35.84,285.53,7.97,7,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,CH,1976,35,1.78,0.54,2,5.03,18.9,221.07,11.7,7,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,mobile,DE,9467,213,2.25,0.54,9,4.27,115.02,1495.28,13.0,8,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,mobile,AT,3048,63,2.07,0.49,2,3.61,30.87,194.26,6.29,7,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,mobile,CH,1556,37,2.38,0.49,2,5.24,18.13,287.31,15.85,8,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,tablet,DE,1948,34,1.75,0.56,1,4.15,19.04,94.6,4.97,7,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,tablet,AT,688,11,1.54,0.64,0,4.31,7.04,0.0,0.0,6,2024-12-31T06:30:00,google_ads_api
2024-01-03,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,tablet,CH,371,7,1.78,0.53,0,4.72,3.71,0.0,0.0,7,2024-12-31T06:30:00,google_ads_api
2024-01-04,GGL-204481,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,CONVERSIONS,desktop,DE,9314,182,1.95,0.58,8,4.57,105.56,580.99,5.5,7,2024-12-31T06:30:00,google_ads_api
